name,time,star_rank,star_normalized_rank,push_rank,push_normalized_rank,pull_rank,pull_normalized_rank,issue_rank,issue_normalized_rank
R,2018_3,18.0,4.0,18.0,11.0,19.0,4.0,17.0,6.0
Dart,2018_3,19.0,18.0,19.0,5.0,18.0,17.0,19.0,19.0
JavaScript,2018_4,1.0,4.0,1.0,16.0,1.0,13.0,1.0,7.0
Python,2018_4,2.0,9.0,2.0,10.0,2.0,6.0,2.0,8.0
Java,2018_4,3.0,7.0,3.0,9.0,3.0,14.0,3.0,13.0
Go,2018_4,4.0,5.0,8.0,11.0,4.0,3.0,5.0,5.0
C_plus_plus,2018_4,5.0,17.0,5.0,13.0,5.0,7.0,4.0,6.0
PHP,2018_4,6.0,6.0,6.0,15.0,7.0,12.0,6.0,10.0
TypeScript,2018_4,7.0,2.0,10.0,4.0,8.0,2.0,7.0,1.0
C,2018_4,8.0,10.0,9.0,14.0,10.0,8.0,9.0,12.0
C_sharp,2018_4,9.0,3.0,4.0,1.0,9.0,18.0,8.0,9.0
Swift,2018_4,10.0,13.0,12.0,6.0,12.0,4.0,11.0,3.0
Ruby,2018_4,11.0,15.0,7.0,12.0,6.0,15.0,10.0,14.0
Objective-C,2018_4,12.0,16.0,16.0,18.0,15.0,17.0,12.0,11.0
Kotlin,2018_4,13.0,1.0,14.0,2.0,14.0,1.0,13.0,2.0
Rust,2018_4,14.0,19.0,13.0,3.0,13.0,16.0,15.0,17.0
Scala,2018_4,15.0,11.0,11.0,8.0,11.0,11.0,14.0,18.0
Lua,2018_4,16.0,14.0,18.0,17.0,17.0,5.0,16.0,16.0
Perl,2018_4,17.0,12.0,15.0,5.0,16.0,10.0,18.0,15.0
R,2018_4,18.0,8.0,17.0,7.0,19.0,9.0,17.0,4.0
Dart,2018_4,19.0,18.0,19.0,19.0,18.0,19.0,19.0,19.0
JavaScript,2019_1,1.0,9.0,1.0,3.0,1.0,13.0,1.0,9.0
Python,2019_1,2.0,6.0,2.0,9.0,2.0,5.0,2.0,5.0
Java,2019_1,3.0,12.0,3.0,8.0,3.0,9.0,3.0,15.0
Go,2019_1,4.0,4.0,7.0,5.0,4.0,3.0,5.0,3.0
C_plus_plus,2019_1,5.0,11.0,4.0,15.0,5.0,2.0,4.0,6.0
PHP,2019_1,6.0,10.0,5.0,17.0,7.0,14.0,6.0,10.0
TypeScript,2019_1,7.0,5.0,9.0,2.0,8.0,4.0,7.0,2.0
C,2019_1,8.0,8.0,10.0,16.0,10.0,6.0,9.0,11.0
C_sharp,2019_1,9.0,1.0,8.0,11.0,9.0,12.0,8.0,8.0
Swift,2019_1,10.0,17.0,12.0,12.0,12.0,11.0,11.0,12.0
Ruby,2019_1,11.0,15.0,6.0,6.0,6.0,16.0,10.0,14.0
Objective-C,2019_1,12.0,18.0,16.0,19.0,15.0,19.0,12.0,13.0
Rust,2019_1,13.0,19.0,13.0,13.0,13.0,18.0,15.0,18.0
Kotlin,2019_1,14.0,2.0,14.0,1.0,14.0,1.0,12.0,1.0
Scala,2019_1,15.0,14.0,11.0,7.0,11.0,10.0,14.0,16.0
Lua,2019_1,16.0,13.0,17.0,18.0,16.0,7.0,16.0,7.0
Perl,2019_1,17.0,3.0,15.0,4.0,17.0,15.0,18.0,17.0
Dart,2019_1,18.0,16.0,19.0,14.0,18.0,17.0,19.0,19.0
R,2019_1,19.0,7.0,18.0,10.0,19.0,8.0,17.0,4.0
JavaScript,2019_2,1.0,5.0,1.0,5.0,1.0,8.0,1.0,5.0
Python,2019_2,2.0,15.0,2.0,11.0,2.0,8.0,2.0,13.0
Java,2019_2,3.0,6.0,3.0,13.0,3.0,8.0,3.0,13.0
Go,2019_2,4.0,17.0,8.0,16.0,4.0,8.0,5.0,13.0
C_plus_plus,2019_2,5.0,17.0,4.0,16.0,5.0,8.0,4.0,13.0
PHP,2019_2,6.0,7.0,5.0,12.0,7.0,8.0,6.0,8.0
TypeScript,2019_2,7.0,3.0,9.0,15.0,8.0,2.0,7.0,3.0
C,2019_2,8.0,17.0,10.0,16.0,10.0,8.0,9.0,13.0
C_sharp,2019_2,9.0,8.0,6.0,2.0,9.0,8.0,8.0,10.0
Swift,2019_2,10.0,9.0,12.0,1.0,12.0,3.0,11.0,2.0
Ruby,2019_2,11.0,11.0,7.0,14.0,6.0,8.0,10.0,12.0
Objective-C,2019_2,12.0,10.0,16.0,8.0,15.0,6.0,12.0,4.0
Rust,2019_2,13.0,16.0,13.0,4.0,13.0,8.0,15.0,13.0
Kotlin,2019_2,14.0,1.0,14.0,6.0,14.0,1.0,13.0,1.0
Scala,2019_2,15.0,14.0,11.0,16.0,11.0,8.0,14.0,13.0
Dart,2019_2,16.0,2.0,19.0,3.0,16.0,4.0,19.0,11.0
Lua,2019_2,17.0,12.0,18.0,10.0,18.0,7.0,16.0,9.0
Perl,2019_2,18.0,13.0,15.0,9.0,17.0,8.0,17.0,7.0
R,2019_2,19.0,4.0,17.0,7.0,19.0,5.0,18.0,6.0
JavaScript,2019_3,1.0,13.0,1.0,5.0,1.0,12.0,1.0,14.0
Python,2019_3,2.0,8.0,2.0,12.0,2.0,8.0,2.0,8.0
Java,2019_3,3.0,7.0,3.0,11.0,3.0,10.0,3.0,13.0
Go,2019_3,4.0,3.0,6.0,6.0,4.0,2.0,4.0,3.0
C_plus_plus,2019_3,5.0,11.0,4.0,14.0,5.0,6.0,5.0,5.0
PHP,2019_3,6.0,12.0,5.0,18.0,8.0,16.0,6.0,16.0
TypeScript,2019_3,7.0,6.0,8.0,2.0,6.0,3.0,7.0,4.0
C,2019_3,8.0,9.0,10.0,13.0,10.0,9.0,9.0,9.0
C_sharp,2019_3,9.0,5.0,7.0,8.0,9.0,11.0,8.0,6.0
Swift,2019_3,10.0,17.0,12.0,10.0,13.0,13.0,12.0,12.0
Ruby,2019_3,11.0,18.0,9.0,15.0,7.0,18.0,10.0,19.0
Objective-C,2019_3,12.0,19.0,16.0,17.0,16.0,15.0,13.0,10.0
Rust,2019_3,13.0,4.0,13.0,7.0,12.0,7.0,15.0,15.0
Kotlin,2019_3,14.0,2.0,14.0,3.0,15.0,1.0,14.0,2.0
Dart,2019_3,15.0,1.0,19.0,1.0,14.0,4.0,11.0,1.0
Scala,2019_3,16.0,15.0,11.0,4.0,11.0,5.0,16.0,18.0
Lua,2019_3,17.0,16.0,17.0,19.0,18.0,14.0,17.0,11.0
Perl,2019_3,18.0,14.0,15.0,9.0,17.0,19.0,19.0,17.0
R,2019_3,19.0,10.0,18.0,16.0,19.0,17.0,18.0,7.0
JavaScript,2019_4,1.0,13.0,1.0,18.0,1.0,12.0,1.0,14.0
Python,2019_4,2.0,10.0,2.0,11.0,2.0,7.0,2.0,9.0
Java,2019_4,3.0,9.0,3.0,8.0,3.0,9.0,3.0,13.0
Go,2019_4,4.0,3.0,6.0,5.0,4.0,3.0,4.0,3.0
C_plus_plus,2019_4,5.0,14.0,4.0,12.0,5.0,5.0,5.0,5.0
PHP,2019_4,6.0,12.0,5.0,15.0,8.0,14.0,6.0,16.0
TypeScript,2019_4,7.0,4.0,9.0,2.0,7.0,2.0,8.0,4.0
C,2019_4,8.0,7.0,10.0,14.0,10.0,10.0,9.0,8.0
C_sharp,2019_4,9.0,6.0,8.0,6.0,9.0,11.0,7.0,6.0
Swift,2019_4,10.0,18.0,13.0,9.0,13.0,15.0,12.0,10.0
Ruby,2019_4,11.0,17.0,7.0,10.0,6.0,13.0,10.0,17.0
Objective-C,2019_4,12.0,19.0,16.0,17.0,16.0,17.0,13.0,11.0
Rust,2019_4,13.0,5.0,12.0,4.0,12.0,8.0,14.0,7.0
Kotlin,2019_4,14.0,1.0,14.0,3.0,15.0,1.0,15.0,2.0
Dart,2019_4,15.0,2.0,18.0,1.0,14.0,4.0,11.0,1.0
Scala,2019_4,16.0,15.0,11.0,13.0,11.0,6.0,16.0,19.0
Lua,2019_4,17.0,16.0,19.0,19.0,18.0,19.0,17.0,18.0
Perl,2019_4,18.0,11.0,15.0,7.0,17.0,16.0,18.0,12.0
R,2019_4,19.0,8.0,17.0,16.0,19.0,18.0,19.0,15.0
JavaScript,2020_1,1.0,14.0,1.0,19.0,1.0,14.0,1.0,17.0
Python,2020_1,2.0,11.0,2.0,14.0,2.0,10.0,2.0,8.0
Go,2020_1,3.0,6.0,6.0,5.0,4.0,2.0,4.0,3.0
Java,2020_1,4.0,13.0,3.0,9.0,3.0,8.0,3.0,15.0
C_plus_plus,2020_1,5.0,12.0,4.0,13.0,5.0,5.0,5.0,5.0
PHP,2020_1,6.0,10.0,5.0,15.0,8.0,16.0,6.0,13.0
TypeScript,2020_1,7.0,3.0,8.0,2.0,7.0,3.0,7.0,4.0
C,2020_1,8.0,4.0,10.0,11.0,10.0,9.0,9.0,6.0
C_sharp,2020_1,9.0,7.0,7.0,8.0,9.0,11.0,8.0,7.0
Swift,2020_1,10.0,16.0,13.0,12.0,13.0,15.0,13.0,14.0
Ruby,2020_1,11.0,15.0,9.0,10.0,6.0,12.0,10.0,19.0
Objective-C,2020_1,12.0,18.0,16.0,16.0,16.0,18.0,15.0,18.0
Rust,2020_1,13.0,5.0,12.0,4.0,12.0,7.0,14.0,10.0
Kotlin,2020_1,14.0,1.0,14.0,3.0,14.0,1.0,12.0,2.0
Dart,2020_1,15.0,2.0,19.0,1.0,15.0,6.0,11.0,1.0
Scala,2020_1,16.0,19.0,11.0,6.0,11.0,4.0,16.0,16.0
Lua,2020_1,17.0,17.0,17.0,18.0,18.0,19.0,17.0,9.0
Perl,2020_1,18.0,8.0,15.0,7.0,17.0,17.0,18.0,11.0
R,2020_1,19.0,9.0,18.0,17.0,19.0,13.0,19.0,12.0
JavaScript,2020_2,1.0,13.0,1.0,12.0,1.0,13.0,1.0,17.0
Python,2020_2,2.0,11.0,2.0,13.0,2.0,10.0,2.0,8.0
Java,2020_2,3.0,12.0,3.0,15.0,3.0,9.0,3.0,11.0
Go,2020_2,4.0,5.0,7.0,6.0,4.0,1.0,5.0,3.0
C_plus_plus,2020_2,5.0,9.0,4.0,8.0,5.0,4.0,4.0,5.0
TypeScript,2020_2,6.0,3.0,6.0,2.0,6.0,1.0,7.0,6.0
C,2020_2,7.0,4.0,10.0,11.0,10.0,7.0,8.0,4.0
PHP,2020_2,8.0,15.0,5.0,16.0,8.0,14.0,6.0,13.0
C_sharp,2020_2,9.0,6.0,9.0,10.0,9.0,11.0,9.0,9.0
Swift,2020_2,10.0,18.0,13.0,9.0,13.0,16.0,13.0,16.0
Ruby,2020_2,11.0,17.0,8.0,14.0,7.0,12.0,10.0,19.0
Objective-C,2020_2,12.0,19.0,16.0,17.0,16.0,18.0,16.0,18.0
Rust,2020_2,13.0,8.0,12.0,4.0,12.0,6.0,15.0,10.0
Kotlin,2020_2,14.0,1.0,14.0,3.0,14.0,3.0,12.0,1.0
Dart,2020_2,15.0,2.0,19.0,1.0,15.0,8.0,11.0,1.0
Scala,2020_2,16.0,16.0,11.0,7.0,11.0,5.0,14.0,12.0
Lua,2020_2,17.0,14.0,17.0,19.0,18.0,19.0,17.0,15.0
Perl,2020_2,18.0,10.0,15.0,5.0,17.0,15.0,19.0,14.0
R,2020_2,19.0,7.0,18.0,18.0,19.0,17.0,18.0,7.0
JavaScript,2020_3,1.0,12.0,1.0,3.0,1.0,12.0,1.0,17.0
Python,2020_3,2.0,19.0,2.0,15.0,2.0,9.0,2.0,9.0
Go,2020_3,3.0,4.0,7.0,5.0,4.0,4.0,4.0,3.0
Java,2020_3,4.0,9.0,3.0,11.0,3.0,6.0,3.0,10.0
C_plus_plus,2020_3,5.0,10.0,4.0,7.0,6.0,5.0,5.0,5.0
TypeScript,2020_3,6.0,3.0,6.0,2.0,5.0,2.0,6.0,4.0
C,2020_3,7.0,5.0,9.0,12.0,10.0,11.0,9.0,7.0
PHP,2020_3,8.0,13.0,5.0,17.0,8.0,14.0,7.0,15.0
C_sharp,2020_3,9.0,7.0,10.0,13.0,9.0,10.0,8.0,8.0
Swift,2020_3,10.0,16.0,13.0,10.0,15.0,15.0,13.0,14.0
Ruby,2020_3,11.0,15.0,8.0,14.0,7.0,13.0,10.0,19.0
Objective-C,2020_3,12.0,18.0,16.0,16.0,16.0,17.0,16.0,16.0
Kotlin,2020_3,13.0,1.0,14.0,4.0,14.0,3.0,12.0,2.0
Rust,2020_3,14.0,8.0,12.0,6.0,13.0,8.0,15.0,12.0
Dart,2020_3,15.0,2.0,17.0,1.0,12.0,1.0,11.0,1.0
Scala,2020_3,16.0,17.0,11.0,9.0,11.0,7.0,14.0,13.0
Lua,2020_3,17.0,14.0,18.0,18.0,18.0,18.0,17.0,11.0
Perl,2020_3,18.0,6.0,15.0,8.0,17.0,16.0,19.0,18.0
R,2020_3,19.0,11.0,19.0,19.0,19.0,19.0,18.0,6.0
JavaScript,2020_4,1.0,13.0,1.0,2.0,1.0,14.0,2.0,17.0
Python,2020_4,2.0,8.0,2.0,14.0,2.0,8.0,1.0,6.0
Go,2020_4,3.0,5.0,8.0,10.0,4.0,5.0,5.0,4.0
Java,2020_4,4.0,12.0,3.0,17.0,3.0,7.0,3.0,13.0
C_plus_plus,2020_4,5.0,7.0,4.0,8.0,5.0,6.0,4.0,5.0
TypeScript,2020_4,6.0,3.0,6.0,3.0,7.0,3.0,7.0,3.0
C,2020_4,7.0,4.0,9.0,11.0,10.0,9.0,9.0,9.0
PHP,2020_4,8.0,14.0,5.0,12.0,8.0,13.0,6.0,10.0
C_sharp,2020_4,9.0,10.0,10.0,15.0,9.0,11.0,8.0,7.0
Ruby,2020_4,10.0,16.0,7.0,9.0,6.0,12.0,10.0,18.0
Swift,2020_4,11.0,18.0,13.0,13.0,15.0,18.0,13.0,16.0
Rust,2020_4,12.0,9.0,12.0,6.0,13.0,10.0,16.0,12.0
Objective-C,2020_4,13.0,17.0,16.0,18.0,16.0,17.0,15.0,14.0
Kotlin,2020_4,14.0,2.0,14.0,4.0,14.0,1.0,12.0,2.0
Dart,2020_4,15.0,1.0,17.0,1.0,12.0,2.0,11.0,1.0
Scala,2020_4,16.0,19.0,11.0,5.0,11.0,4.0,14.0,11.0
Lua,2020_4,17.0,15.0,18.0,16.0,18.0,16.0,17.0,8.0
Perl,2020_4,18.0,6.0,15.0,7.0,17.0,15.0,18.0,15.0
R,2020_4,19.0,11.0,19.0,19.0,19.0,19.0,19.0,19.0
JavaScript,2021_1,1.0,15.0,1.0,2.0,1.0,13.0,1.0,16.0
Python,2021_1,2.0,11.0,2.0,16.0,2.0,9.0,2.0,7.0
Go,2021_1,3.0,8.0,7.0,5.0,4.0,5.0,5.0,3.0
Java,2021_1,4.0,13.0,3.0,12.0,3.0,7.0,3.0,11.0
C_plus_plus,2021_1,5.0,7.0,4.0,6.0,6.0,6.0,4.0,2.0
C,2021_1,6.0,5.0,9.0,8.0,10.0,8.0,9.0,5.0
TypeScript,2021_1,7.0,3.0,6.0,3.0,7.0,3.0,7.0,4.0
PHP,2021_1,8.0,12.0,5.0,18.0,8.0,14.0,6.0,10.0
C_sharp,2021_1,9.0,6.0,10.0,15.0,9.0,11.0,8.0,6.0
Ruby,2021_1,10.0,14.0,8.0,9.0,5.0,10.0,10.0,15.0
Swift,2021_1,11.0,17.0,12.0,14.0,15.0,17.0,13.0,18.0
Rust,2021_1,12.0,4.0,14.0,11.0,13.0,12.0,14.0,12.0
Objective-C,2021_1,13.0,18.0,17.0,17.0,16.0,18.0,16.0,19.0
Kotlin,2021_1,14.0,2.0,15.0,10.0,14.0,2.0,15.0,9.0
Dart,2021_1,15.0,1.0,16.0,1.0,12.0,1.0,11.0,1.0
Scala,2021_1,16.0,19.0,11.0,7.0,11.0,4.0,12.0,8.0
Lua,2021_1,17.0,16.0,18.0,13.0,18.0,15.0,17.0,17.0
Perl,2021_1,18.0,10.0,13.0,4.0,17.0,16.0,18.0,13.0
R,2021_1,19.0,9.0,19.0,19.0,19.0,19.0,19.0,14.0
JavaScript,2021_2,1.0,9.0,1.0,3.0,1.0,11.0,2.0,11.0
Python,2021_2,2.0,9.0,2.0,9.0,2.0,8.0,1.0,9.0
Go,2021_2,3.0,8.0,7.0,4.0,4.0,6.0,5.0,6.0
Java,2021_2,4.0,9.0,3.0,9.0,3.0,5.0,3.0,8.0
C_plus_plus,2021_2,5.0,4.0,4.0,5.0,7.0,7.0,4.0,4.0
TypeScript,2021_2,6.0,1.0,6.0,2.0,6.0,3.0,6.0,2.0
C,2021_2,7.0,6.0,9.0,7.0,10.0,9.0,9.0,5.0
PHP,2021_2,8.0,9.0,5.0,9.0,8.0,14.0,7.0,11.0
C_sharp,2021_2,9.0,9.0,10.0,9.0,9.0,13.0,8.0,11.0
Swift,2021_2,10.0,9.0,13.0,9.0,15.0,16.0,13.0,11.0
Ruby,2021_2,11.0,9.0,8.0,9.0,5.0,10.0,10.0,11.0
Rust,2021_2,12.0,7.0,14.0,9.0,13.0,12.0,14.0,10.0
Objective-C,2021_2,13.0,9.0,17.0,9.0,16.0,16.0,16.0,11.0
Kotlin,2021_2,14.0,3.0,12.0,9.0,14.0,4.0,15.0,7.0
Dart,2021_2,15.0,2.0,16.0,1.0,12.0,2.0,11.0,1.0
Scala,2021_2,16.0,5.0,11.0,6.0,11.0,1.0,12.0,3.0
Lua,2021_2,17.0,9.0,19.0,9.0,18.0,16.0,17.0,11.0
Perl,2021_2,18.0,9.0,15.0,9.0,17.0,15.0,19.0,11.0
R,2021_2,19.0,9.0,18.0,8.0,19.0,16.0,18.0,11.0
